PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD
47,4732,4732,1976,Oats,31000,12500,26000,10500,0.838709677,62.1,-99,2400,1614,-99,24900,62.07692308,-99,2371.428571,-0.011904762
47,4732,4732,1976,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,"Rye, fall remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,Summerfallow,818000,331000,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4732,4732,1976,"Wheat, all",840000,339900,840000,339900,1,30.4,-99,2000,25554,-99,695500,30.42142857,-99,2046.190056,0.023095028
47,4732,4732,1976,"Wheat, durum",268000,108500,268000,108500,1,30.4,-99,2000,8159,-99,222100,30.44402985,-99,2047.004608,0.023502304
47,4732,4732,1976,"Wheat, spring",572000,231500,572000,231500,1,30.4,-99,2000,17395,-99,473400,30.41083916,-99,2044.924406,0.022462203
47,4732,4732,1976,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,Barley,73400,29700,66100,26700,0.900544959,49.2,-99,2600,3250,-99,70800,49.16792738,-99,2651.685393,0.019878997
47,4733,4733,1976,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,Canola,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,Flaxseed,2600,1100,2600,1100,1,15.1,-99,900,39,-99,1000,15,-99,909.0909091,0.01010101
47,4733,4733,1976,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,Oats,49000,19800,43000,17400,0.87755102,62.5,-99,2400,2686,-99,41400,62.46511628,-99,2379.310345,-0.00862069
47,4733,4733,1976,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,"Rye, fall remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,Summerfallow,1182000,478300,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4733,4733,1976,"Wheat, all",1189000,481200,1189000,481200,1,32.6,-99,2200,38719,-99,1053800,32.56433978,-99,2189.941812,-0.004571904
47,4733,4733,1976,"Wheat, durum",430000,174100,430000,174100,1,32.1,-99,2200,13806,-99,375700,32.10697674,-99,2157.955198,-0.019111274
