PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD,
46,4608,4608,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,"Rye, fall remaining",22200,9000,22200,9000,1,40.4,-99,2500,897,-99,22800,40,-99,2533.33,0.013333333,
46,4608,4608,1985,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,Summerfallow,44000,17800,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4608,4608,1985,"Wheat, all",787800,318900,787800,318900,1,45.8,-99,3100,36065,-99,981500,46,-99,3077.77,-0.007171831,
46,4608,4608,1985,"Wheat, durum",57000,23000,57000,23000,1,45.8,-99,3100,2613,-99,71200,46,-99,3095.65,-0.001402525,
46,4608,4608,1985,"Wheat, spring",730800,295800,730800,295800,1,45.8,-99,3100,33452,-99,910400,46,-99,3077.76,-0.007175729,
46,4608,4608,1985,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,Barley,132000,53400,128000,51800,0.96969697,67.7,-99,3600,8665,-99,188700,68,-99,3642.86,0.011904762,
46,4609,4609,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,Canola,31200,12600,31200,12600,1,30.7,-99,1700,959,-99,21800,31,-99,1730.16,0.01774043,
46,4609,4609,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,Flaxseed,110400,44700,110400,44700,1,24.5,-99,1500,2702,-99,68600,24,-99,1534.68,0.023117077,
46,4609,4609,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,Oats,44900,18200,35000,14200,0.779510022,70.3,-99,2700,2462,-99,38000,70,-99,2676.06,-0.008868023,
46,4609,4609,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,"Rye, fall remaining",5900,2400,5900,2400,1,37,-99,2300,219,-99,5600,37,-99,2333.33,0.014492754,
46,4609,4609,1985,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,Summerfallow,37000,15000,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4609,4609,1985,"Wheat, all",361300,146200,361300,146200,1,41.4,-99,2800,14954,-99,407000,41,-99,2783.86,-0.005765097,
46,4609,4609,1985,"Wheat, durum",12000,4900,12000,4900,1,43.3,-99,2900,519,-99,14100,43,-99,2877.55,-0.007741027,
46,4609,4609,1985,"Wheat, spring",349300,141400,349300,141400,1,41.3,-99,2800,14435,-99,392800,41,-99,2777.93,-0.00788038,
46,4609,4609,1985,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,Barley,30000,12100,29000,11700,0.966666667,46.3,-99,2500,1344,-99,29300,46,-99,2504.27,0.001709402,
46,4610,4610,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,Canola,13000,5300,13000,5300,1,21.5,-99,1200,279,-99,6300,21,-99,1188.68,-0.009433962,
46,4610,4610,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,Flaxseed,15100,6100,15100,6100,1,15.4,-99,1000,232,-99,5900,15,-99,967.21,-0.032786885,
46,4610,4610,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,Oats,14200,5800,11000,4500,0.774647887,67.6,-99,2600,744,-99,11500,68,-99,2555.56,-0.017094017,
46,4610,4610,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,"Rye, fall remaining",1600,600,1600,600,1,34.9,-99,2300,56,-99,1400,35,-99,2333.33,0.014492754,
46,4610,4610,1985,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,Summerfallow,20000,8100,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4610,4610,1985,"Wheat, all",51700,20900,51700,20900,1,31.1,-99,2100,1606,-99,43700,31,-99,2090.91,-0.004329004,
46,4610,4610,1985,"Wheat, durum",1000,400,1000,400,1,41,-99,2800,41,-99,1100,41,-99,2750.00,-0.017857143,
