Table 3. SLC polygons (2011) to be modelled in the Holos V4 simulations,,,,Polygon centroid coordinates,
SLC polygon #,Ecodistrict #,SLC polygon area (ha),Ecodistrict area (ha),Latitude,Longitude
616004,616,"37,549","371,812",55.063153,-114.026908
616005,616,"145,406","371,812",54.560409,-114.423871
616006,616,"13,322","371,812",54.644749,-114.168518
616007,616,"26,406","371,812",54.282053,-114.586162
617002,617,"56,863","161,803",54.612501,-114.660293
617003,617,"17,853","161,803",54.47021,-114.624385
617004,617,"46,747","161,803",54.272812,-115.204535
618001,618,"8,461","1,996,645",55.603397,-121.575829
618002,618,"16,029","1,996,645",55.604683,-121.345171
618004,618,"23,423","1,996,645",55.694438,-120.683266
618005,618,"15,420","1,996,645",55.572924,-121.178205
618007,618,"27,414","1,996,645",55.562393,-120.596925
618009,618,"31,462","1,996,645",55.750331,-119.797169
618010,618,"51,125","1,996,645",55.494931,-120.230486
618013,618,"42,993","1,996,645",55.591823,-120.054929
618014,618,"18,787","1,996,645",55.460748,-120.367057
618015,618,"112,479","1,996,645",55.646564,-119.3654
618016,618,"129,142","1,996,645",55.269559,-120.609074
618017,618,"40,493","1,996,645",55.58619,-119.754855
618018,618,"40,911","1,996,645",55.634918,-119.147641
618019,618,"204,045","1,996,645",54.963122,-120.218167
618034,618,"109,820","1,996,645",54.309409,-116.535274
618041,618,"33,162","1,996,645",54.224929,-116.138003
618042,618,"40,609","1,996,645",54.147597,-116.031269
619001,619,"37,468","978,811",55.330772,-114.984522
619005,619,"312,857","978,811",54.648109,-114.969718
619008,619,"111,508","978,811",54.944257,-116.406865
619009,619,"90,534","978,811",55.125891,-115.816621
621008,621,"167,063","844,825",54.078919,-118.202741
621011,621,"61,669","844,825",53.671546,-117.788992
622001,622,"50,283","137,074",53.938551,-115.672697
622002,622,"8,784","137,074",54.064461,-115.421177
622003,622,"38,909","137,074",53.789758,-115.43746
622004,622,"39,098","137,074",53.754891,-115.24127
623001,623,"47,784","727,114",53.984213,-115.832935
623002,623,"58,891","727,114",53.657876,-116.583616
623003,623,"44,857","727,114",53.67417,-115.974657
623004,623,"56,893","727,114",53.468621,-116.32234
623005,623,"24,941","727,114",53.523761,-116.615852
623006,623,"27,816","727,114",53.621385,-115.692384
623007,623,"76,402","727,114",53.577071,-115.473105
623008,623,"16,374","727,114",53.701072,-115.601904
623009,623,"24,469","727,114",53.429007,-115.136532
623010,623,"26,701","727,114",53.456066,-115.307121
623011,623,"13,494","727,114",53.401038,-114.989863
623012,623,"56,396","727,114",53.215138,-115.12312
623014,623,"8,273","727,114",53.133643,-115.251748
623015,623,"44,168","727,114",52.969403,-115.073015
623018,623,"84,538","727,114",52.48964,-115.062067
625001,625,"89,735","524,293",53.783309,-116.595981
625003,625,"33,034","524,293",53.608906,-116.989009
625006,625,"20,511","524,293",53.38159,-117.62351
626001,626,"19,556","241,402",53.534576,-115.907623
626005,626,"60,603","241,402",53.16657,-115.48796
626007,626,"35,908","241,402",53.272683,-115.653285
626008,626,"11,136","241,402",53.093593,-115.472185
628001,628,"166,166","847,629",52.895885,-117.169623
629001,629,"123,239","425,754",52.687974,-115.475399
629002,629,"41,274","425,754",52.481012,-115.51823
629003,629,"55,234","425,754",52.136199,-115.104761
629004,629,"10,253","425,754",52.057475,-115.065331
629005,629,"53,106","425,754",51.944256,-115.014893
629006,629,"21,470","425,754",51.957896,-114.779427
629007,629,"12,398","425,754",51.815866,-114.846284
629008,629,"108,781","425,754",51.459456,-114.702993
630001,630,"35,324","147,724",52.970592,-114.529649
630002,630,"30,125","147,724",52.780765,-114.921985
630003,630,"49,699","147,724",52.830272,-114.638402
630004,630,"32,576","147,724",52.619544,-114.857746
631001,631,"62,681","122,640",51.105922,-114.761436
631002,631,"59,959","122,640",50.75322,-114.55913
635002,635,"97,805","259,955",56.865917,-110.752751
647012,647,"29,620","440,715",54.338569,-108.092307
650004,650,"50,128","536,503",54.62005,-111.654632
650005,650,"142,631","536,503",54.72959,-110.812805
650006,650,"81,468","536,503",54.594827,-110.660772
650007,650,"24,740","536,503",54.53933,-110.106043
650008,650,"1,879","536,503",54.406985,-110.037788
652003,652,"14,090","239,989",54.463211,-109.928705
652005,652,"23,155","239,989",54.472441,-109.369521
657012,657,"40,761","421,916",53.914936,-106.937253
657013,657,"5,066","421,916",53.869743,-107.151257
657016,657,"7,661","421,916",53.820059,-106.877768
658014,658,"37,742","448,253",53.565171,-105.145846
660005,660,"19,221","219,160",53.705271,-107.090264
660006,660,"5,040","219,160",53.696364,-107.586123
660008,660,"58,030","219,160",53.598964,-107.267948
660009,660,"11,129","219,160",53.574771,-106.944499
660010,660,"40,076","219,160",53.517642,-107.094436
661008,661,"21,673","219,688",53.638061,-105.665782
661011,661,"1,389","219,688",53.684492,-105.554758
661013,661,"10,189","219,688",53.590959,-105.914968
661015,661,"2,615","219,688",53.524241,-105.777307
662020,662,"10,806","843,728",53.655207,-103.94123
669003,669,"124,182","640,344",53.688497,-101.496468
672004,672,"15,989","585,061",52.893051,-102.330887
672005,672,"28,823","585,061",52.934768,-102.089028
672011,672,"18,504","585,061",52.814538,-102.255479
672012,672,"24,877","585,061",52.821287,-101.791207
677002,677,"240,147","315,393",51.40306,-96.911755
678001,678,"29,196","673,952",54.809497,-113.348147
678002,678,"177,119","673,952",54.744385,-112.139767
678003,678,"28,640","673,952",54.669426,-112.663311
678004,678,"10,615","673,952",54.827215,-113.246255
678005,678,"53,868","673,952",54.809365,-113.049736
678006,678,"30,070","673,952",54.681566,-113.351278
678007,678,"109,421","673,952",54.753143,-112.763374
678008,678,"37,994","673,952",54.50613,-113.57204
678009,678,"36,643","673,952",54.376329,-113.783159
678010,678,"17,290","673,952",54.541911,-113.35351
678011,678,"37,876","673,952",54.422842,-113.294922
678012,678,"105,220","673,952",54.417839,-113.053434
679001,679,"302,814","302,814",54.396138,-112.241321
680001,680,"22,448","528,891",54.447909,-111.27656
680002,680,"163,286","528,891",54.197985,-110.893639
680003,680,"29,298","528,891",54.270581,-110.931098
680004,680,"97,903","528,891",54.160573,-111.153374
680005,680,"36,216","528,891",54.326297,-110.552293
680006,680,"6,279","528,891",54.38113,-109.839904
680007,680,"39,896","528,891",54.365931,-109.344754
680008,680,"26,547","528,891",54.321566,-110.021509
680009,680,"20,621","528,891",54.393233,-109.706035
680010,680,"8,476","528,891",53.969706,-110.849993
680011,680,"16,529","528,891",54.327373,-109.634429
680012,680,"16,390","528,891",54.362282,-109.208563
680013,680,"10,155","528,891",54.305535,-109.564486
680014,680,"25,628","528,891",54.202327,-108.965852
680015,680,"9,220","528,891",54.156955,-108.720804
681001,681,"13,255","201,194",54.501052,-114.144591
681002,681,"32,443","201,194",54.326405,-114.260961
681003,681,"41,043","201,194",54.339141,-113.989888
681004,681,"43,441","201,194",54.201503,-114.34016
681005,681,"47,136","201,194",54.107752,-113.882325
681006,681,"23,876","201,194",54.254651,-113.813562
682002,682,"88,399","227,517",54.272223,-108.676856
682006,682,"12,320","227,517",54.360439,-108.647152
682008,682,"12,106","227,517",54.299235,-108.335106
682009,682,"16,062","227,517",54.150965,-108.045372
682010,682,"12,705","227,517",54.23379,-108.098629
682014,682,"6,611","227,517",54.064444,-108.017439
683001,683,"52,488","183,380",53.88806,-113.139206
683002,683,"36,285","183,380",54.014199,-112.602549
683003,683,"94,607","183,380",54.102396,-113.403265
684001,684,"15,645","626,637",54.09194,-115.291112
684002,684,"31,773","626,637",54.175223,-114.573561
684003,684,"17,911","626,637",54.131315,-115.072796
684004,684,"96,055","626,637",53.958698,-115.040014
684005,684,"17,867","626,637",54.114401,-114.715385
684006,684,"39,672","626,637",54.001489,-114.605008
684007,684,"67,249","626,637",53.926644,-114.113394
684008,684,"227,197","626,637",53.748696,-114.495154
684009,684,"66,682","626,637",53.500885,-114.302988
684010,684,"10,676","626,637",53.402685,-114.368657
684011,684,"31,942","626,637",53.294444,-114.228027
684012,684,"3,968","626,637",53.352322,-114.179595
685001,685,"36,402","133,699",54.148275,-108.481399
685002,685,"49,806","133,699",54.053345,-108.899665
685003,685,"14,105","133,699",54.077727,-108.618523
685004,685,"26,849","133,699",53.91652,-109.08147
685005,685,"6,536","133,699",54.104371,-108.239656
686001,686,"57,762","331,084",54.108547,-110.698396
686002,686,"90,044","331,084",54.19596,-110.207752
686003,686,"24,833","331,084",54.217454,-109.761167
686004,686,"113,889","331,084",53.874142,-110.064136
686006,686,"34,357","331,084",53.927116,-110.496631
687001,687,"9,539","361,054",53.89531,-110.826317
687002,687,"31,673","361,054",53.808675,-110.442052
687003,687,"27,429","361,054",53.675214,-110.28497
687004,687,"15,312","361,054",53.686971,-110.048662
687005,687,"92,256","361,054",53.581573,-109.074965
687006,687,"21,663","361,054",53.639772,-109.855571
687007,687,"29,160","361,054",53.464177,-109.091716
687008,687,"17,400","361,054",53.528521,-108.7646
687009,687,"13,551","361,054",53.433482,-108.924615
687010,687,"68,361","361,054",53.365707,-108.29047
687011,687,"9,734","361,054",53.396654,-108.732846
687012,687,"24,975","361,054",53.276662,-107.960435
688001,688,"59,951","193,772",53.86108,-111.253006
688002,688,"14,928","193,772",53.776832,-111.078781
688003,688,"28,001","193,772",53.730239,-111.551965
688004,688,"90,892","193,772",53.609687,-111.375555
689001,689,"26,342","157,161",53.571983,-106.702187
689002,689,"6,614","157,161",53.76683,-107.046539
689003,689,"14,809","157,161",53.723784,-106.829994
689004,689,"3,161","157,161",53.758798,-106.742814
689007,689,"27,940","157,161",53.442021,-106.357976
689009,689,"32,128","157,161",53.484482,-106.786706
689011,689,"5,161","157,161",53.567253,-106.424607
689012,689,"5,515","157,161",53.575384,-106.081319
689013,689,"23,092","157,161",53.527794,-106.19909
690004,690,"18,531","183,454",53.648205,-107.846994
690006,690,793,"183,454",53.70001,-107.733004
690007,690,"7,965","183,454",53.578531,-107.753895
690008,690,"13,501","183,454",53.609952,-107.62375
690009,690,"19,537","183,454",53.445629,-107.719333
690010,690,"21,928","183,454",53.51041,-107.666727
690011,690,"21,947","183,454",53.374497,-107.483758
690012,690,"31,672","183,454",53.234614,-107.109737
690013,690,"11,908","183,454",53.073647,-106.98495
690014,690,"26,515","183,454",52.967843,-107.082302
691003,691,"24,742","173,347",53.569475,-103.933423
691009,691,"34,392","173,347",53.459491,-103.768004
691012,691,"19,699","173,347",53.398618,-103.414514
692001,692,"50,915","323,351",53.642073,-115.18058
692002,692,"42,091","323,351",53.443671,-114.657695
692003,692,"32,366","323,351",53.382558,-114.863852
692004,692,"3,169","323,351",53.314369,-114.756741
692005,692,"6,093","323,351",53.208861,-114.918129
692006,692,"18,701","323,351",53.248753,-114.719665
692007,692,"24,784","323,351",53.270837,-114.381381
692008,692,"44,653","323,351",53.131735,-114.717179
692009,692,"72,284","323,351",53.173858,-114.141133
692010,692,"28,296","323,351",52.953997,-114.849296
693001,693,"10,003","237,337",53.57748,-105.475874
693003,693,"29,507","237,337",53.495158,-105.590708
693004,693,"6,644","237,337",53.476518,-105.785633
693005,693,"27,379","237,337",53.49076,-105.243577
693006,693,"61,789","237,337",53.557946,-104.533537
693007,693,"14,130","237,337",53.650379,-104.188529
693009,693,"8,866","237,337",53.688358,-104.036322
693010,693,"21,745","237,337",53.4272,-105.181272
693011,693,"34,750","237,337",53.466127,-104.305799
693012,693,"13,600","237,337",53.435515,-104.543684
694001,694,"35,576","156,081",53.469057,-103.51879
694002,694,"22,461","156,081",53.446146,-104.032428
694004,694,"59,360","156,081",53.29138,-103.65647
694005,694,"38,502","156,081",53.25071,-103.931279
695001,695,"39,657","118,540",53.561348,-109.456455
695002,695,"15,924","118,540",53.39173,-109.340179
695003,695,"18,466","118,540",53.461118,-109.43733
695004,695,"44,494","118,540",53.164349,-108.911192
696001,696,"40,971","355,477",53.403621,-107.001797
696002,696,"31,530","355,477",53.313676,-106.387666
696003,696,"12,168","355,477",53.328546,-107.057532
696004,696,"18,002","355,477",53.369307,-106.706119
696005,696,"13,772","355,477",53.45608,-105.937015
696006,696,"15,585","355,477",53.422849,-106.158187
696007,696,"15,068","355,477",53.325379,-106.545424
696008,696,"35,026","355,477",53.332456,-105.605694
696009,696,"26,752","355,477",53.310116,-106.171269
696010,696,"15,455","355,477",53.394767,-105.584996
696011,696,"14,950","355,477",53.168451,-106.913364
696012,696,"71,892","355,477",53.076153,-106.445297
696013,696,"14,929","355,477",53.182005,-106.533356
696014,696,"8,204","355,477",53.347745,-105.332447
696015,696,"21,172","355,477",53.280762,-105.322319
697004,697,"84,629","151,672",53.353837,-103.202281
697005,697,"61,352","151,672",53.3254,-102.948305
698001,698,"10,963","230,472",53.374775,-104.994436
698002,698,"34,996","230,472",53.319378,-105.042004
698003,698,"17,286","230,472",53.377693,-104.6319
698005,698,"9,930","230,472",53.214868,-105.187318
698006,698,"28,104","230,472",53.271943,-104.661348
698007,698,"14,740","230,472",53.195309,-105.344073
698008,698,"22,089","230,472",53.28639,-104.457881
698009,698,"12,395","230,472",53.172865,-104.98108
698010,698,"31,806","230,472",53.174065,-104.202357
698011,698,"13,110","230,472",53.20408,-104.618742
698012,698,"25,993","230,472",53.139747,-104.610171
699001,699,"116,509","151,803",53.181168,-107.50884
699002,699,"35,293","151,803",53.176996,-107.196288
700002,700,"20,558","179,339",53.026806,-103.441525
700003,700,"18,578","179,339",52.984156,-103.674203
700005,700,"46,126","179,339",52.918212,-103.24662
700006,700,"21,972","179,339",52.916642,-103.030661
700007,700,"11,493","179,339",52.824178,-103.486205
700008,700,"30,545","179,339",52.734573,-103.332394
701001,701,"64,504","263,571",53.24216,-105.956289
701002,701,"32,344","263,571",53.08971,-106.149674
701003,701,"3,673","263,571",53.173156,-105.936362
701004,701,"11,611","263,571",52.942618,-106.566906
701005,701,"33,778","263,571",52.831294,-106.274781
701006,701,"67,898","263,571",52.837898,-106.127139
701007,701,"9,325","263,571",52.980525,-105.880604
701008,701,"10,444","263,571",52.844817,-106.008207
701009,701,"13,191","263,571",52.760845,-105.994693
701010,701,"16,803","263,571",52.682762,-106.049383
702001,702,"27,175","299,266",53.135459,-105.570079
702002,702,"27,295","299,266",53.064504,-105.686025
702003,702,"20,032","299,266",53.073337,-105.925903
702004,702,"94,968","299,266",53.067702,-105.205883
702005,702,"23,022","299,266",53.083936,-104.74968
702006,702,"20,442","299,266",53.090221,-104.41123
702007,702,"4,321","299,266",52.995083,-105.65281
702008,702,"8,931","299,266",53.057874,-104.227091
702009,702,"38,595","299,266",52.874365,-105.667444
702010,702,"10,183","299,266",52.977049,-105.196935
702011,702,"24,302","299,266",52.739629,-105.786605
703001,703,"126,136","320,855",52.945395,-114.157583
703002,703,"37,875","320,855",52.775926,-114.305276
703003,703,"38,345","320,855",52.465922,-114.308717
703004,703,"35,491","320,855",52.587739,-114.531925
703005,703,"38,673","320,855",52.576243,-114.221834
703006,703,"22,838","320,855",52.504505,-114.820418
703007,703,"21,496","320,855",52.476908,-114.590697
704002,704,"33,374","308,601",52.859257,-102.671115
704003,704,"80,312","308,601",52.695452,-102.604538
704004,704,"120,420","308,601",52.588447,-103.02739
704005,704,"20,586","308,601",52.742097,-103.016245
704006,704,"51,329","308,601",52.707248,-102.304446
705001,705,"121,803","353,894",52.965849,-103.940736
705002,705,"83,698","353,894",52.838758,-104.887702
705003,705,"8,107","353,894",53.020261,-104.37306
705004,705,"19,545","353,894",52.959672,-104.454436
705005,705,"29,362","353,894",52.824188,-104.199519
705006,705,"20,121","353,894",52.858749,-104.453952
705007,705,"22,461","353,894",52.729472,-104.795997
705008,705,"48,796","353,894",52.757365,-104.35518
706001,706,"33,092","198,600",52.894717,-105.272003
706002,706,"6,153","198,600",52.826629,-105.217473
706003,706,"23,464","198,600",52.761324,-105.264474
706004,706,"19,167","198,600",52.680372,-105.003273
706005,706,"54,997","198,600",52.532086,-105.282169
706006,706,"11,099","198,600",52.575132,-105.088557
706007,706,"6,787","198,600",52.681577,-105.277891
706008,706,"43,841","198,600",52.571547,-104.68995
707001,707,"29,935","378,072",52.773748,-103.708011
707002,707,"13,978","378,072",52.682898,-104.280371
707003,707,"11,920","378,072",52.636981,-104.51343
707004,707,"50,908","378,072",52.534691,-103.953736
707005,707,"62,795","378,072",52.508843,-104.225111
707006,707,"59,917","378,072",52.660506,-103.621456
707007,707,"26,065","378,072",52.316211,-103.566261
707008,707,"9,808","378,072",52.45151,-103.817304
707009,707,"43,405","378,072",52.145765,-103.421466
707010,707,"50,161","378,072",51.866022,-102.877383
707011,707,"19,180","378,072",52.011217,-103.14652
708001,708,"63,192","340,928",52.293303,-114.809277
708002,708,"102,569","340,928",52.327911,-114.234941
708003,708,"69,739","340,928",52.02425,-114.497035
708004,708,"16,509","340,928",51.877411,-114.585295
708005,708,"54,694","340,928",51.85673,-114.390881
708006,708,"34,224","340,928",51.674055,-114.599423
709001,709,"7,058","742,336",52.038823,-102.72819
709002,709,"51,473","742,336",52.030708,-102.376676
709003,709,"10,834","742,336",52.1175,-102.07454
709004,709,"29,245","742,336",51.870924,-102.21658
709005,709,"67,887","742,336",51.726365,-102.155526
709006,709,"23,612","742,336",52.083541,-101.60224
709007,709,"68,684","742,336",51.963435,-101.357148
709008,709,"11,439","742,336",51.96627,-102.030644
709009,709,"17,397","742,336",52.012682,-101.909853
709010,709,"2,418","742,336",52.018306,-101.620967
709011,709,"21,256","742,336",51.864244,-102.102217
709012,709,"18,822","742,336",51.928188,-101.750645
709013,709,"39,711","742,336",51.755992,-101.920545
709014,709,"6,823","742,336",51.876228,-101.625177
709015,709,"56,931","742,336",51.226948,-101.041962
709016,709,"16,573","742,336",51.51359,-101.860444
709017,709,"23,409","742,336",51.339921,-102.091419
709018,709,"83,170","742,336",51.311074,-101.473957
709019,709,"23,027","742,336",51.413897,-101.884289
709020,709,"12,436","742,336",50.986409,-101.324941
709021,709,"150,133","742,336",50.784884,-100.889262
710001,710,"71,587","290,526",54.132497,-109.65409
710002,710,"18,117","290,526",54.043869,-109.449555
710003,710,"15,363","290,526",54.043054,-109.836271
710004,710,"12,201","290,526",54.099746,-109.298511
710005,710,"58,614","290,526",53.745082,-109.606895
710006,710,"16,445","290,526",53.924265,-109.599645
710007,710,"19,023","290,526",53.991762,-109.251818
710008,710,"72,024","290,526",53.765081,-109.221525
710009,710,"7,153","290,526",53.688278,-109.104153
711001,711,"329,912","412,902",53.757725,-108.314314
711002,711,"44,695","412,902",53.924603,-108.769873
711006,711,"17,154","412,902",53.534927,-108.547548
711007,711,"17,490","412,902",53.413444,-108.054139
714001,714,"151,599","903,953",52.129565,-103.138684
714004,714,"68,402","903,953",52.393653,-103.158463
714005,714,"23,393","903,953",52.347219,-102.636918
714007,714,"45,095","903,953",52.327644,-102.808062
714009,714,"20,140","903,953",52.254219,-103.186102
714011,714,"6,175","903,953",52.380679,-102.146354
714013,714,"53,474","903,953",52.161068,-102.290663
714014,714,"62,571","903,953",52.283235,-101.379431
714018,714,"78,262","903,953",52.217587,-102.10553
714019,714,"15,983","903,953",52.086914,-101.793811
715001,715,"122,016","544,443",51.989061,-101.049326
715002,715,"120,155","544,443",51.721051,-101.370637
715003,715,"210,426","544,443",51.583672,-100.956974
715004,715,"58,129","544,443",51.5483,-101.540937
715005,715,"14,911","544,443",51.323582,-101.314046
715006,715,"18,806","544,443",51.591897,-101.3784
716001,716,"16,827","507,947",50.635742,-100.048941
716002,716,"105,220","507,947",50.916117,-99.851204
716003,716,"385,900","507,947",50.811636,-100.360322
717005,717,"17,302","825,507",52.520023,-100.916344
717006,717,"34,621","825,507",52.454454,-100.810443
717007,717,"85,858","825,507",52.196697,-100.531481
717010,717,"49,661","825,507",51.885138,-100.502288
717011,717,"47,283","825,507",52.097592,-100.741691
717012,717,"120,924","825,507",51.825178,-100.224067
717013,717,"12,009","825,507",51.684166,-100.050921
717014,717,"69,427","825,507",52.195498,-101.036594
717015,717,"70,581","825,507",52.078792,-101.211115
718001,718,"215,145","988,051",51.874484,-98.894152
718004,718,"632,972","988,051",51.912273,-99.522465
720001,720,"130,155","130,155",51.78465,-98.436635
723002,723,"53,146","1,003,697",51.544512,-98.339773
723003,723,"75,180","1,003,697",51.42151,-97.749174
723004,723,"277,542","1,003,697",51.428387,-98.651004
723006,723,"75,361","1,003,697",51.067024,-98.110893
723007,723,"79,536","1,003,697",51.051459,-98.712984
723008,723,"177,474","1,003,697",50.856506,-97.703822
723009,723,"20,918","1,003,697",51.031039,-98.523848
723010,723,"36,282","1,003,697",50.754621,-97.339995
723011,723,"86,202","1,003,697",50.600764,-97.180573
724002,724,"49,431","682,483",51.511668,-97.454736
724003,724,"62,999","682,483",51.262082,-97.383777
724005,724,"62,765","682,483",50.93937,-97.520059
724006,724,"19,541","682,483",51.146536,-97.646764
724007,724,"66,467","682,483",50.983966,-97.155984
724008,724,"291,774","682,483",50.012489,-96.519117
724009,724,"40,536","682,483",50.347198,-97.316794
724010,724,"29,994","682,483",50.369673,-96.788274
724011,724,"11,674","682,483",50.228483,-96.601303
724012,724,"6,342","682,483",50.003071,-96.876074
726001,726,"261,244","355,188",49.110889,-96.761043
726002,726,"26,183","355,188",49.428128,-96.652538
726003,726,"24,468","355,188",49.261802,-96.457385
726004,726,"25,864","355,188",49.214061,-96.717314
726005,726,"17,430","355,188",49.099901,-96.958133
727001,727,"55,194","723,605",53.777074,-113.769905
727002,727,"21,481","723,605",53.71256,-113.015228
727003,727,"26,570","723,605",53.647281,-113.200313
727004,727,"56,362","723,605",53.524086,-113.889782
727005,727,"14,427","723,605",53.349238,-113.849528
727006,727,"59,565","723,605",53.296904,-113.689637
727007,727,"17,968","723,605",53.402771,-113.859722
727008,727,"45,914","723,605",53.366013,-113.278523
727009,727,"85,384","723,605",53.288128,-113.477821
727010,727,"17,619","723,605",53.208578,-113.150587
727011,727,"59,207","723,605",53.015866,-113.504459
727012,727,"44,638","723,605",53.07128,-113.231464
727013,727,"52,212","723,605",52.831493,-113.290246
727014,727,"167,065","723,605",53.766562,-113.37623
728001,728,"95,920","313,429",53.792907,-112.489395
728002,728,"34,034","313,429",53.903291,-112.181903
728003,728,"31,164","313,429",53.759799,-112.143642
728004,728,"26,257","313,429",53.733605,-111.828283
728005,728,"92,426","313,429",53.472137,-112.248528
728006,728,"33,627","313,429",53.534626,-111.886848
729001,729,"60,164","1,014,043",53.74623,-110.638961
729002,729,"29,509","1,014,043",53.571665,-110.078108
729003,729,"71,895","1,014,043",53.43151,-110.169778
729004,729,"14,516","1,014,043",53.436867,-109.928274
729005,729,"33,449","1,014,043",53.467606,-109.706736
729006,729,"121,739","1,014,043",53.096162,-110.025153
729007,729,"22,809","1,014,043",53.346333,-109.659095
729008,729,"4,762","1,014,043",53.266193,-109.733009
729009,729,"89,707","1,014,043",53.154909,-109.529885
729010,729,"34,259","1,014,043",53.289155,-109.301804
729011,729,"21,550","1,014,043",52.886662,-110.142858
729012,729,"45,890","1,014,043",52.821479,-110.236554
729013,729,"40,096","1,014,043",52.91388,-109.410074
729014,729,"36,048","1,014,043",52.804644,-109.670049
729015,729,"70,653","1,014,043",52.777847,-109.395227
729016,729,"23,160","1,014,043",52.798223,-109.918822
729017,729,"83,717","1,014,043",52.737211,-108.996601
729018,729,"71,199","1,014,043",52.601189,-108.159965
729019,729,"9,789","1,014,043",52.712382,-108.689258
729020,729,"36,951","1,014,043",52.652955,-108.59794
729021,729,"28,549","1,014,043",52.533482,-108.248114
729022,729,"50,337","1,014,043",52.432136,-108.183303
729023,729,"5,340","1,014,043",52.496189,-107.793663
729024,729,"7,955","1,014,043",52.286887,-107.804986
730001,730,"81,662","936,719",53.627647,-110.801635
730002,730,"40,686","936,719",53.362296,-111.583033
730003,730,"85,736","936,719",53.427477,-111.312424
730004,730,"48,533","936,719",53.39652,-110.87922
730005,730,"137,368","936,719",53.080671,-111.459184
730006,730,"255,750","936,719",53.212306,-110.422845
730007,730,"29,621","936,719",53.093299,-111.141322
730008,730,"44,507","936,719",52.749432,-111.165039
730009,730,"75,865","936,719",52.898899,-110.67615
730010,730,"79,487","936,719",52.658258,-111.372385
730011,730,"57,505","936,719",52.426141,-111.071272
731001,731,"69,160","911,719",53.535168,-112.566631
731002,731,"244,304","911,719",53.168899,-112.554625
731003,731,"15,790","911,719",53.541631,-111.984352
731004,731,"27,469","911,719",53.203921,-111.911106
731005,731,"113,488","911,719",52.963892,-111.947588
731006,731,"30,513","911,719",52.566795,-112.383304
731007,731,"15,483","911,719",52.893139,-112.951137
731008,731,"78,652","911,719",52.783445,-112.341977
731009,731,"71,454","911,719",52.816215,-112.138589
731010,731,"14,516","911,719",52.831447,-112.626569
731011,731,"22,525","911,719",52.66424,-112.548877
731012,731,"20,122","911,719",52.488182,-112.371005
731013,731,"48,792","911,719",52.32829,-112.597537
731014,731,"98,353","911,719",52.339811,-112.220851
731015,731,"29,557","911,719",52.232884,-112.80649
731016,731,"11,541","911,719",52.335702,-111.754208
732001,732,"139,174","139,174",53.476581,-112.933344
733001,733,"11,521","373,130",53.348173,-108.984355
733002,733,"45,169","373,130",53.219822,-108.602134
733003,733,"34,859","373,130",53.142324,-108.208165
733004,733,"66,873","373,130",53.075521,-107.898109
733005,733,"55,944","373,130",52.93987,-107.492657
733006,733,"50,426","373,130",52.915235,-107.95099
733007,733,"20,013","373,130",52.782558,-107.738675
733008,733,"26,491","373,130",52.802121,-107.128101
733009,733,"13,254","373,130",52.816221,-107.603996
733010,733,"7,947","373,130",52.835556,-107.194934
733011,733,"25,192","373,130",52.727691,-107.478714
733012,733,"15,440","373,130",52.703697,-107.040744
734001,734,"75,168","118,747",53.070792,-109.10407
734002,734,"12,948","118,747",52.880926,-108.82209
734003,734,"20,604","118,747",52.832791,-108.858206
734004,734,"10,027","118,747",52.708916,-108.354459
735001,735,"37,279","268,482",52.994209,-108.901147
735002,735,"6,766","268,482",53.090395,-108.821064
735003,735,"45,260","268,482",53.014839,-108.465858
735004,735,"43,929","268,482",52.580606,-108.042393
735005,735,"64,110","268,482",52.873558,-108.219326
735006,735,"7,058","268,482",52.70752,-108.18258
735007,735,"10,424","268,482",52.777342,-107.988481
735008,735,"53,657","268,482",52.546387,-107.676725
736001,736,"65,729","406,329",52.894018,-106.847277
736002,736,"20,469","406,329",52.833567,-106.665147
736003,736,"20,030","406,329",52.63388,-106.85158
736004,736,"52,689","406,329",52.729259,-106.407452
736005,736,"45,669","406,329",52.531834,-107.188903
736006,736,"67,485","406,329",52.534143,-106.472735
736007,736,"13,100","406,329",52.470284,-107.007442
736008,736,"47,573","406,329",52.473507,-106.761137
736009,736,"26,207","406,329",52.477325,-106.336791
736010,736,"9,141","406,329",52.52437,-106.16015
736011,736,"20,077","406,329",52.404667,-106.208442
736012,736,"18,159","406,329",52.335656,-106.547061
737001,737,"83,324","343,379",52.805484,-113.752481
737002,737,"62,634","343,379",52.600083,-113.609195
737003,737,"71,403","343,379",52.4127,-113.948281
737004,737,"48,661","343,379",52.139903,-114.188018
737005,737,"77,356","343,379",52.126355,-113.908472
738001,738,"23,632","244,404",52.882089,-111.741423
738002,738,"58,902","244,404",52.664553,-111.762889
738003,738,"36,209","244,404",52.820201,-111.418282
738004,738,"55,024","244,404",52.557553,-111.921168
738005,738,"19,404","244,404",52.409437,-111.801434
738006,738,"32,940","244,404",52.436542,-111.672758
738007,738,"18,292","244,404",52.326561,-111.47293
739001,739,"278,560","443,421",52.475976,-110.619891
739002,739,"22,514","443,421",52.561068,-110.895111
739003,739,"94,265","443,421",52.668226,-109.736902
739004,739,"30,223","443,421",52.523191,-109.810271
739005,739,"17,859","443,421",52.436082,-109.186921
740001,740,"55,673","410,868",52.786174,-112.976784
740002,740,"97,142","410,868",52.525458,-112.661185
740003,740,"59,633","410,868",52.46562,-113.010882
740004,740,"8,092","410,868",52.298812,-113.233688
740005,740,"15,766","410,868",52.229604,-113.220336
